direction,next_direction,count,probability,n_total_in_row,phase_id,stream
UP,UP,43,0.3049645390070922,141,2,BRENT_session
DOWN,UP,58,0.4233576642335766,137,2,BRENT_session
FLAT,UP,35,0.33653846153846156,104,2,BRENT_session
UP,DOWN,61,0.4326241134751773,141,2,BRENT_session
DOWN,DOWN,43,0.31386861313868614,137,2,BRENT_session
FLAT,DOWN,30,0.28846153846153844,104,2,BRENT_session
UP,FLAT,37,0.2624113475177305,141,2,BRENT_session
DOWN,FLAT,36,0.26277372262773724,137,2,BRENT_session
FLAT,FLAT,39,0.375,104,2,BRENT_session
