direction,next_direction,count,probability,n_total_in_row,phase_id,stream
UP,UP,10,0.30303030303030304,33,5.0,WTI_session
DOWN,UP,16,0.4444444444444444,36,5.0,WTI_session
FLAT,UP,9,0.2903225806451613,31,5.0,WTI_session
UP,DOWN,11,0.3333333333333333,33,5.0,WTI_session
DOWN,DOWN,10,0.2777777777777778,36,5.0,WTI_session
FLAT,DOWN,13,0.41935483870967744,31,5.0,WTI_session
UP,FLAT,12,0.36363636363636365,33,5.0,WTI_session
DOWN,FLAT,10,0.2777777777777778,36,5.0,WTI_session
FLAT,FLAT,9,0.2903225806451613,31,5.0,WTI_session
