direction,next_direction,count,probability,n_total_in_row,phase_id,stream
UP,UP,46,0.32167832167832167,143,2.0,WTI_session
DOWN,UP,65,0.45454545454545453,143,2.0,WTI_session
FLAT,UP,29,0.3020833333333333,96,2.0,WTI_session
UP,DOWN,56,0.3916083916083916,143,2.0,WTI_session
DOWN,DOWN,42,0.2937062937062937,143,2.0,WTI_session
FLAT,DOWN,40,0.4166666666666667,96,2.0,WTI_session
UP,FLAT,41,0.2867132867132867,143,2.0,WTI_session
DOWN,FLAT,36,0.2517482517482518,143,2.0,WTI_session
FLAT,FLAT,27,0.28125,96,2.0,WTI_session
