direction,next_direction,count,probability,n_total_in_row,phase_id,stream
UP,UP,5,0.45454545454545453,11,9.0,BRENT_session
DOWN,UP,2,0.15384615384615385,13,9.0,BRENT_session
FLAT,UP,4,0.36363636363636365,11,9.0,BRENT_session
UP,DOWN,5,0.45454545454545453,11,9.0,BRENT_session
DOWN,DOWN,4,0.3076923076923077,13,9.0,BRENT_session
FLAT,DOWN,3,0.2727272727272727,11,9.0,BRENT_session
UP,FLAT,1,0.09090909090909091,11,9.0,BRENT_session
DOWN,FLAT,7,0.5384615384615384,13,9.0,BRENT_session
FLAT,FLAT,4,0.36363636363636365,11,9.0,BRENT_session
