direction,next_direction,count,probability,n_total_in_row,phase_id,stream
UP,UP,11,0.3235294117647059,34,7.0,BRENT_session
DOWN,UP,10,0.3448275862068966,29,7.0,BRENT_session
FLAT,UP,12,0.4444444444444444,27,7.0,BRENT_session
UP,DOWN,13,0.38235294117647056,34,7.0,BRENT_session
DOWN,DOWN,9,0.3103448275862069,29,7.0,BRENT_session
FLAT,DOWN,5,0.18518518518518517,27,7.0,BRENT_session
UP,FLAT,10,0.29411764705882354,34,7.0,BRENT_session
DOWN,FLAT,10,0.3448275862068966,29,7.0,BRENT_session
FLAT,FLAT,10,0.37037037037037035,27,7.0,BRENT_session
