direction,next_direction,count,probability,n_total_in_row,phase_id,stream
UP,UP,12,0.32432432432432434,37,5,BRENT_session
DOWN,UP,15,0.45454545454545453,33,5,BRENT_session
FLAT,UP,10,0.3333333333333333,30,5,BRENT_session
UP,DOWN,13,0.35135135135135137,37,5,BRENT_session
DOWN,DOWN,8,0.24242424242424243,33,5,BRENT_session
FLAT,DOWN,12,0.4,30,5,BRENT_session
UP,FLAT,12,0.32432432432432434,37,5,BRENT_session
DOWN,FLAT,10,0.30303030303030304,33,5,BRENT_session
FLAT,FLAT,8,0.26666666666666666,30,5,BRENT_session
