direction,next_direction,count,probability,n_total_in_row,phase_id,stream
UP,UP,21,0.39622641509433965,53,10.0,BRENT_session
DOWN,UP,16,0.4,40,10.0,BRENT_session
FLAT,UP,13,0.4482758620689655,29,10.0,BRENT_session
UP,DOWN,19,0.3584905660377358,53,10.0,BRENT_session
DOWN,DOWN,13,0.325,40,10.0,BRENT_session
FLAT,DOWN,9,0.3103448275862069,29,10.0,BRENT_session
UP,FLAT,13,0.24528301886792453,53,10.0,BRENT_session
DOWN,FLAT,11,0.275,40,10.0,BRENT_session
FLAT,FLAT,7,0.2413793103448276,29,10.0,BRENT_session
