direction,next_direction,count,probability,n_total_in_row,phase_id,stream
UP,UP,45,0.3191489361702128,141,2.0,BRENT_session
DOWN,UP,54,0.39416058394160586,137,2.0,BRENT_session
FLAT,UP,37,0.3557692307692308,104,2.0,BRENT_session
UP,DOWN,61,0.4326241134751773,141,2.0,BRENT_session
DOWN,DOWN,45,0.3284671532846715,137,2.0,BRENT_session
FLAT,DOWN,28,0.2692307692307692,104,2.0,BRENT_session
UP,FLAT,35,0.24822695035460993,141,2.0,BRENT_session
DOWN,FLAT,38,0.2773722627737226,137,2.0,BRENT_session
FLAT,FLAT,39,0.375,104,2.0,BRENT_session
