stream,phase_id,phase_label,session_window_ist,n,std_return_pct,mean_abs_return_pct,liquidity_proxy_score,framework,low_confidence_flag
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,india_midday,10,3.865512593733204,2.9984971251075647,0.25869790247772234,session_overlap_liquidity_proxy,False
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,india_morning,10,0.7365162815872915,0.5997595540849654,1.3577432366394748,session_overlap_liquidity_proxy,False
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,mcx_open_drive,10,0.31687517304752144,0.26439887480581914,3.155816817021607,session_overlap_liquidity_proxy,False
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,mcx_tail,10,0.8912986840660481,0.6067785383760079,1.1219583489544307,session_overlap_liquidity_proxy,False
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,other_valid_hours,10,0.4303206626790074,0.36005734231885006,2.3238484384514395,session_overlap_liquidity_proxy,False
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,us_open,20,3.689030262966538,1.5307313375502034,0.27107394863056744,session_overlap_liquidity_proxy,False
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,us_pre_open,10,4.525309809394652,3.006583160507562,0.22097934552988527,session_overlap_liquidity_proxy,False
BRENT_session,9.0,ceasefire_pause_breakdown_renewed_escalation,us_open,8,0.7682509319709233,0.5123448083257062,1.3016580369574455,session_overlap_liquidity_proxy,False
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,europe_midday,9,2.1684545308724545,1.4647138379862588,0.4611579287289278,session_overlap_liquidity_proxy,False
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,global_reopen_pre_mcx,8,0.652179381913839,0.47063521797612706,1.5333204755192835,session_overlap_liquidity_proxy,False
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,india_midday,9,1.2543766107475214,1.087866949765506,0.7972087421209723,session_overlap_liquidity_proxy,False
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,india_morning,8,0.7782199059935879,0.6131452210125854,1.2849838359290688,session_overlap_liquidity_proxy,False
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,mcx_open_drive,8,0.44985588139896854,0.39535323436530256,2.2229341470210082,session_overlap_liquidity_proxy,False
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,mcx_tail,9,0.522247736664552,0.4249423062609741,1.9148000647867158,session_overlap_liquidity_proxy,False
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,other_valid_hours,8,0.37875117553220583,0.28988886048541,2.6402558317999687,session_overlap_liquidity_proxy,False
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,us_open,18,0.8232429394209599,0.6984805216392734,1.2147082618204594,session_overlap_liquidity_proxy,False
