stream,session_window_ist,phase_id,phase_label,n_total,n_valid,n_up,n_down,n_flat,pct_up,pct_down,pct_flat,mean_return_pct,median_return_pct,std_return_pct,low_confidence_flag,p_up_vs_random,p_down_vs_random,q_up,q_down
BRENT_session,asia_early,1.0,full_scale_war,11,11,3,4,4,27.27272727272727,36.36363636363637,36.36363636363637,0.0489244742748526,-0.1226042643320292,1.4389010565800742,False,1.0,1.0,1.0,1.0
BRENT_session,europe_midday,1.0,full_scale_war,18,18,8,8,2,44.44444444444444,44.44444444444444,11.11111111111111,-0.5206297135801342,-0.0882375921862913,2.003249244065784,False,0.3249252442092707,0.3249252442092707,0.7469135802469135,1.0
BRENT_session,global_reopen_pre_mcx,1.0,full_scale_war,6,6,4,2,0,66.66666666666666,33.33333333333333,0.0,0.9937271252794108,1.091620699805881,2.783698442788189,False,0.10013717421124826,1.0,0.6621948626470299,1.0
BRENT_session,india_midday,1.0,full_scale_war,6,6,3,3,0,50.0,50.0,0.0,0.5680184692618928,0.0507129800336613,2.348740370820396,False,0.4074074074074074,0.4074074074074074,0.7469135802469135,1.0
BRENT_session,india_morning,1.0,full_scale_war,6,6,1,1,4,16.666666666666664,16.666666666666664,66.66666666666666,-0.8636376435285601,-0.1130157037346636,2.3344140459591918,False,0.6707818930041154,0.6707818930041154,0.8198445358939188,1.0
BRENT_session,mcx_open_drive,1.0,full_scale_war,6,6,3,1,2,50.0,16.666666666666664,33.33333333333333,0.2998542651967208,0.3515065219684888,0.7431442247791381,False,0.4074074074074074,0.6707818930041154,0.7469135802469135,1.0
BRENT_session,mcx_tail,1.0,full_scale_war,6,6,1,2,3,16.666666666666664,33.33333333333333,50.0,-0.2726579314263544,-0.4027318523377231,0.7204374820010958,False,0.6707818930041154,1.0,0.8198445358939188,1.0
BRENT_session,other_valid_hours,1.0,full_scale_war,18,18,8,7,3,44.44444444444444,38.88888888888889,16.666666666666664,0.6404834086959138,0.3006931104114304,3.587776272596525,False,0.3249252442092707,0.6225620374971965,0.7469135802469135,1.0
BRENT_session,us_late,1.0,full_scale_war,12,12,7,2,3,58.333333333333336,16.666666666666664,25.0,0.3064089712560249,0.7239293405142633,1.7178543877833878,False,0.12039906593582361,0.3588451022785222,0.6621948626470299,1.0
BRENT_session,us_open,1.0,full_scale_war,36,36,14,8,14,38.88888888888889,22.22222222222222,38.88888888888889,0.0354482219122288,0.2376354077496474,1.4657090246883064,False,0.47950012218695326,0.15729920705028522,0.7535001920080694,1.0
BRENT_session,us_pre_open,1.0,full_scale_war,18,18,6,5,7,33.33333333333333,27.77777777777778,38.88888888888889,0.3195463354581891,-0.1479020449980055,1.7108127495430985,False,1.0,0.8037322594985427,1.0,1.0
BRENT_session,europe_midday,2.0,post_ceasefire_complex,43,43,8,22,13,18.6046511627907,51.16279069767442,30.23255813953488,-0.3740306965046551,-0.3114326233315798,1.0323613265162492,False,0.040479456113210244,0.013132572942531562,0.12143836833963073,0.11819315648278406
BRENT_session,global_reopen_pre_mcx,2.0,post_ceasefire_complex,41,41,17,13,11,41.46341463414634,31.70731707317073,26.82926829268293,-0.1443485684207502,0.179398654614757,1.6134420872238504,False,0.2694564051597772,0.8251990670918414,0.3464439494911421,0.8251990670918414
BRENT_session,india_midday,2.0,post_ceasefire_complex,43,43,17,21,5,39.53488372093023,48.837209302325576,11.627906976744184,-0.4901266129746834,-0.2844350941797169,2.380596978821256,False,0.3883232289789247,0.03103251950014485,0.43686363260129024,0.13964633775065183
BRENT_session,india_morning,2.0,post_ceasefire_complex,42,42,21,13,8,50.0,30.952380952380956,19.047619047619047,0.0846775067111582,0.2827657550497591,0.695425221759847,False,0.021946771003246823,0.7434206976952527,0.12143836833963073,0.8251990670918414
BRENT_session,mcx_open_drive,2.0,post_ceasefire_complex,42,42,10,8,24,23.809523809523807,19.047619047619047,57.14285714285714,0.0185906663356057,-0.0649141394850656,0.3889380615233858,False,0.1904302638255242,0.049534613435626706,0.2856453957382863,0.14860384030688012
BRENT_session,mcx_tail,2.0,post_ceasefire_complex,43,43,10,12,21,23.25581395348837,27.906976744186046,48.837209302325576,-0.0740492853858379,-0.0624779347727066,0.7953011824623069,False,0.1609671969711517,0.45035134358487383,0.2856453957382863,0.6755270153773107
BRENT_session,other_valid_hours,2.0,post_ceasefire_complex,42,42,14,9,19,33.33333333333333,21.428571428571427,45.23809523809524,0.1360068973495056,-0.0323752602320307,0.933786997874372,False,1.0,0.10170693003109332,1.0,0.22884059256995998
BRENT_session,us_open,2.0,post_ceasefire_complex,86,86,37,31,18,43.02325581395349,36.04651162790697,20.930232558139537,0.1585805027114678,0.1512312500481398,1.395720879960527,False,0.056620095473053134,0.5935179734399718,0.12739521481436955,0.7630945372799637
BRENT_session,us_pre_open,2.0,post_ceasefire_complex,43,43,21,18,4,48.837209302325576,41.86046511627907,9.30232558139535,0.1626879374227943,0.1465235041950054,2.3900128917861,False,0.03103251950014485,0.2355589199240793,0.12143836833963073,0.4240060558633427
BRENT_session,europe_midday,3.0,strong_escalation_op_rising_lion,4,4,3,0,1,75.0,0.0,25.0,0.7867794929541819,0.6736447769413543,0.9676955947632534,True,0.11111111111111112,0.30864197530864196,0.5555555555555556,0.9074074074074074
BRENT_session,global_reopen_pre_mcx,3.0,strong_escalation_op_rising_lion,4,4,1,1,2,25.0,25.0,50.0,-0.051085317243092,-0.0197329308748036,0.7103843646157011,True,1.0,1.0,1.0,1.0
BRENT_session,india_midday,3.0,strong_escalation_op_rising_lion,4,4,0,4,0,0.0,100.0,0.0,-1.095270773931362,-1.028823355496511,0.664312696420699,True,0.30864197530864196,0.012345679012345677,0.5555555555555556,0.11111111111111109
BRENT_session,india_morning,3.0,strong_escalation_op_rising_lion,4,4,0,2,2,0.0,50.0,50.0,-0.3419850664973741,-0.3458576056678586,0.3393262260298711,True,0.30864197530864196,0.6049382716049383,0.5555555555555556,0.9074074074074074
BRENT_session,mcx_open_drive,3.0,strong_escalation_op_rising_lion,4,4,0,3,1,0.0,75.0,25.0,-0.4060452824103309,-0.5008800467529145,0.4011372616382531,True,0.30864197530864196,0.11111111111111112,0.5555555555555556,0.5
BRENT_session,mcx_tail,3.0,strong_escalation_op_rising_lion,4,4,0,2,2,0.0,50.0,50.0,-0.3522004774130568,-0.186507953401583,0.8136166701566493,True,0.30864197530864196,0.6049382716049383,0.5555555555555556,0.9074074074074074
