stream,session_window_ist,phase_id,phase_label,n_total,n_valid,n_up,n_down,n_flat,pct_up,pct_down,pct_flat,mean_return_pct,median_return_pct,std_return_pct,low_confidence_flag
BRENT_session,asia_early,1.0,full_scale_war,11,11,3,4,4,27.27272727272727,36.36363636363637,36.36363636363637,0.04892447427485265,-0.12260426433202923,1.4389010565800742,False
BRENT_session,europe_midday,1.0,full_scale_war,18,18,8,8,2,44.44444444444444,44.44444444444444,11.11111111111111,-0.5206297135801342,-0.08823759218629139,2.003249244065784,False
BRENT_session,global_reopen_pre_mcx,1.0,full_scale_war,6,6,4,2,0,66.66666666666666,33.33333333333333,0.0,0.9937271252794107,1.091620699805881,2.7836984427881886,False
BRENT_session,india_midday,1.0,full_scale_war,6,6,3,3,0,50.0,50.0,0.0,0.5680184692618928,0.05071298003366137,2.3487403708203956,False
BRENT_session,india_morning,1.0,full_scale_war,6,6,1,1,4,16.666666666666664,16.666666666666664,66.66666666666666,-0.8636376435285601,-0.1130157037346636,2.3344140459591913,False
BRENT_session,mcx_open_drive,1.0,full_scale_war,6,6,3,1,2,50.0,16.666666666666664,33.33333333333333,0.2998542651967208,0.35150652196848886,0.7431442247791381,False
BRENT_session,mcx_tail,1.0,full_scale_war,6,6,1,2,3,16.666666666666664,33.33333333333333,50.0,-0.27265793142635447,-0.40273185233772313,0.7204374820010958,False
BRENT_session,other_valid_hours,1.0,full_scale_war,18,18,8,7,3,44.44444444444444,38.88888888888889,16.666666666666664,0.6404834086959138,0.30069311041143043,3.587776272596525,False
BRENT_session,us_late,1.0,full_scale_war,12,12,7,2,3,58.333333333333336,16.666666666666664,25.0,0.3064089712560249,0.7239293405142633,1.7178543877833878,False
BRENT_session,us_open,1.0,full_scale_war,36,36,14,8,14,38.88888888888889,22.22222222222222,38.88888888888889,0.035448221912228885,0.23763540774964748,1.4657090246883064,False
BRENT_session,us_pre_open,1.0,full_scale_war,18,18,6,5,7,33.33333333333333,27.77777777777778,38.88888888888889,0.3195463354581891,-0.14790204499800552,1.7108127495430985,False
