stream,session_window_ist,phase_id,phase_label,magnitude_tier,count,pct,n_total,low_confidence_flag
BRENT_session,asia_early,1,full_scale_war,Q1_0_25,4,36.36363636363637,11,False
BRENT_session,asia_early,1,full_scale_war,Q2_25_50,2,18.181818181818183,11,False
BRENT_session,asia_early,1,full_scale_war,Q3_50_75,4,36.36363636363637,11,False
BRENT_session,asia_early,1,full_scale_war,Q5_90_100,1,9.090909090909092,11,False
BRENT_session,europe_midday,1,full_scale_war,Q1_0_25,4,22.22222222222222,18,False
BRENT_session,europe_midday,1,full_scale_war,Q2_25_50,6,33.33333333333333,18,False
BRENT_session,europe_midday,1,full_scale_war,Q3_50_75,4,22.22222222222222,18,False
BRENT_session,europe_midday,1,full_scale_war,Q4_75_90,2,11.11111111111111,18,False
BRENT_session,europe_midday,1,full_scale_war,Q5_90_100,2,11.11111111111111,18,False
BRENT_session,global_reopen_pre_mcx,1,full_scale_war,Q1_0_25,2,33.33333333333333,6,False
BRENT_session,global_reopen_pre_mcx,1,full_scale_war,Q2_25_50,2,33.33333333333333,6,False
BRENT_session,global_reopen_pre_mcx,1,full_scale_war,Q3_50_75,1,16.666666666666664,6,False
BRENT_session,global_reopen_pre_mcx,1,full_scale_war,Q5_90_100,1,16.666666666666664,6,False
BRENT_session,india_midday,1,full_scale_war,Q1_0_25,1,16.666666666666664,6,False
BRENT_session,india_midday,1,full_scale_war,Q2_25_50,3,50.0,6,False
BRENT_session,india_midday,1,full_scale_war,Q3_50_75,1,16.666666666666664,6,False
BRENT_session,india_midday,1,full_scale_war,Q5_90_100,1,16.666666666666664,6,False
BRENT_session,india_morning,1,full_scale_war,Q1_0_25,1,16.666666666666664,6,False
BRENT_session,india_morning,1,full_scale_war,Q2_25_50,3,50.0,6,False
BRENT_session,india_morning,1,full_scale_war,Q3_50_75,1,16.666666666666664,6,False
BRENT_session,india_morning,1,full_scale_war,Q5_90_100,1,16.666666666666664,6,False
BRENT_session,mcx_open_drive,1,full_scale_war,Q1_0_25,2,33.33333333333333,6,False
BRENT_session,mcx_open_drive,1,full_scale_war,Q3_50_75,2,33.33333333333333,6,False
BRENT_session,mcx_open_drive,1,full_scale_war,Q4_75_90,1,16.666666666666664,6,False
BRENT_session,mcx_open_drive,1,full_scale_war,Q5_90_100,1,16.666666666666664,6,False
BRENT_session,mcx_tail,1,full_scale_war,Q1_0_25,2,33.33333333333333,6,False
BRENT_session,mcx_tail,1,full_scale_war,Q2_25_50,1,16.666666666666664,6,False
BRENT_session,mcx_tail,1,full_scale_war,Q3_50_75,2,33.33333333333333,6,False
BRENT_session,mcx_tail,1,full_scale_war,Q5_90_100,1,16.666666666666664,6,False
BRENT_session,other_valid_hours,1,full_scale_war,Q1_0_25,5,27.77777777777778,18,False
BRENT_session,other_valid_hours,1,full_scale_war,Q2_25_50,4,22.22222222222222,18,False
