stream,phase_id,phase_label,day_archetype,current_window,n_observations,top_next_window,pct_up_next,pct_down_next,pct_flat_next,low_confidence_flag,expectancy_raw,expectancy_shrunk,expectancy_shrunk_var,win_rate_raw,win_rate_shrunk,win_rate_shrunk_var
BRENT_session,1.0,full_scale_war,all_day_trend_down,us_open,4,mcx_tail,25.0,50.0,25.0,True,-0.25,-0.0134297520661157,0.12351865810261756,0.25,0.3543388429752066,0.042844144370252565
BRENT_session,1.0,full_scale_war,all_day_trend_up,asia_early,5,us_late,80.0,20.0,0.0,False,0.6,0.14710743801652892,0.11857791177851285,0.8,0.4601652892561984,0.04113037859544246
BRENT_session,1.0,full_scale_war,all_day_trend_up,europe_midday,7,us_pre_open,42.85714285714285,42.85714285714285,14.285714285714285,False,0.0,0.02509947964493419,0.10979436275788226,0.4285714285714285,0.38904193449647995,0.03808368388466894
BRENT_session,1.0,full_scale_war,all_day_trend_up,us_late,6,europe_midday,66.66666666666666,33.33333333333333,0.0,False,0.33333333333333326,0.10298792116973934,0.11401722286395466,0.6666666666666665,0.4424666242848061,0.03954844095715621
BRENT_session,1.0,full_scale_war,all_day_trend_up,us_open,14,us_open,50.0,0.0,50.0,False,0.5,0.22581429265921246,0.08718964101361239,0.5,0.42659212445308703,0.030242925437825342
BRENT_session,1.0,full_scale_war,all_day_trend_up,us_pre_open,7,us_open,57.14285714285714,28.57142857142857,14.285714285714285,False,0.2857142857142857,0.09917355371900827,0.10979436275788226,0.5714285714285714,0.426078971533517,0.03808368388466894
BRENT_session,1.0,full_scale_war,mixed_regime,us_open,4,us_open,25.0,50.0,25.0,True,-0.25,-0.0134297520661157,0.12351865810261756,0.25,0.3543388429752066,0.042844144370252565
BRENT_session,1.0,full_scale_war,whipsaw_two_sided,asia_early,5,us_late,40.0,20.0,40.0,False,0.2,0.06710743801652892,0.11857791177851285,0.4,0.38016528925619836,0.04113037859544246
BRENT_session,1.0,full_scale_war,whipsaw_two_sided,europe_midday,6,us_pre_open,50.0,33.33333333333333,16.666666666666664,False,0.1666666666666667,0.0645263827082009,0.11401722286395466,0.5,0.40400508582326766,0.03954844095715621
BRENT_session,1.0,full_scale_war,whipsaw_two_sided,us_late,5,europe_midday,40.0,60.0,0.0,False,-0.2,-0.012892561983471086,0.11857791177851285,0.4,0.38016528925619836,0.04113037859544246
BRENT_session,1.0,full_scale_war,whipsaw_two_sided,us_open,12,us_open,41.66666666666667,25.0,33.33333333333333,False,0.1666666666666667,0.08367768595041324,0.09263899357696316,0.41666666666666674,0.390754132231405,0.03213310827768942
BRENT_session,1.0,full_scale_war,whipsaw_two_sided,us_pre_open,6,us_open,50.0,50.0,0.0,False,0.0,0.026064844246662423,0.11401722286395466,0.5,0.40400508582326766,0.03954844095715621
BRENT_session,2.0,post_ceasefire_complex,all_day_trend_down,europe_midday,12,us_pre_open,50.0,50.0,0.0,False,0.0,0.021177685950413222,0.09263899357696316,0.5,0.422004132231405,0.03213310827768942
BRENT_session,2.0,post_ceasefire_complex,all_day_trend_down,global_reopen_pre_mcx,12,mcx_open_drive,0.0,25.0,75.0,False,-0.25,-0.07257231404958678,0.09263899357696316,0.0,0.23450413223140495,0.03213310827768942
BRENT_session,2.0,post_ceasefire_complex,all_day_trend_down,india_midday,12,europe_midday,8.333333333333332,50.0,41.66666666666667,False,-0.41666666666666674,-0.13507231404958678,0.09263899357696316,0.08333333333333331,0.265754132231405,0.03213310827768942
BRENT_session,2.0,post_ceasefire_complex,all_day_trend_down,india_morning,12,india_midday,16.666666666666664,66.66666666666666,16.666666666666664,False,-0.49999999999999994,-0.16632231404958678,0.09263899357696316,0.16666666666666663,0.2970041322314049,0.03213310827768942
BRENT_session,2.0,post_ceasefire_complex,all_day_trend_down,mcx_open_drive,12,india_morning,41.66666666666667,33.33333333333333,25.0,False,0.08333333333333343,0.05242768595041326,0.09263899357696316,0.41666666666666674,0.390754132231405,0.03213310827768942
BRENT_session,2.0,post_ceasefire_complex,all_day_trend_down,mcx_tail,11,other_valid_hours,45.45454545454545,0.0,54.54545454545454,False,0.45454545454545453,0.18315115969074916,0.0956273482084781,0.45454545454545453,0.4033591042388696,0.03316966015761489
BRENT_session,2.0,post_ceasefire_complex,all_day_trend_down,us_open,24,mcx_tail,20.833333333333336,54.16666666666666,25.0,False,-0.3333333333333332,-0.16641622839969938,0.06737381351051866,0.20833333333333337,0.2841848234410218,0.023369533292865032
BRENT_session,2.0,post_ceasefire_complex,all_day_trend_down,us_pre_open,12,us_open,33.33333333333333,41.66666666666667,25.0,False,-0.08333333333333343,-0.010072314049586813,0.09263899357696316,0.33333333333333326,0.3595041322314049,0.03213310827768942
BRENT_session,2.0,post_ceasefire_complex,all_day_trend_up,europe_midday,10,us_pre_open,40.0,50.0,10.0,False,-0.1,-0.010743801652892564,0.09881492648209404,0.4,0.3834710743801653,0.03427531549620205
BRENT_session,2.0,post_ceasefire_complex,all_day_trend_up,global_reopen_pre_mcx,9,mcx_open_drive,22.22222222222222,11.11111111111111,66.66666666666666,False,0.1111111111111111,0.05785123966942148,0.10222233774009729,0.2222222222222222,0.32772869763465373,0.03545722292710557
BRENT_session,2.0,post_ceasefire_complex,all_day_trend_up,india_midday,10,europe_midday,40.0,40.0,20.0,False,0.0,0.02258953168044077,0.09881492648209404,0.4,0.3834710743801653,0.03427531549620205
BRENT_session,2.0,post_ceasefire_complex,all_day_trend_up,india_morning,9,india_midday,88.88888888888889,11.11111111111111,0.0,False,0.7777777777777777,0.2647477913935594,0.10222233774009729,0.8888888888888888,0.5346252493587916,0.03545722292710557
BRENT_session,2.0,post_ceasefire_complex,all_day_trend_up,mcx_open_drive,9,india_morning,77.77777777777779,11.11111111111111,11.11111111111111,False,0.6666666666666667,0.2302650327728698,0.10222233774009729,0.7777777777777779,0.500142490738102,0.03545722292710557
BRENT_session,2.0,post_ceasefire_complex,all_day_trend_up,mcx_tail,10,other_valid_hours,10.0,50.0,40.0,False,-0.4,-0.11074380165289255,0.09881492648209404,0.1,0.2834710743801653,0.03427531549620205
