stream,session_window_ist,phase_id,phase_label,n,lag1_autocorr,lag2_autocorr,half_life_days,sign_persistence_pct,framework,low_confidence_flag
BRENT_session,mcx_tail,10.0,second_deescalation_active_negotiation_hormuz_deal,9,-0.5458337004568826,0.19827080728251498,,33.33333333333333,mean_reversion_ar1 + autocorr,False
BRENT_session,other_valid_hours,1.0,full_scale_war,18,0.18537170174731002,0.13319735473920674,0.40610502910621704,55.55555555555556,mean_reversion_ar1 + autocorr,False
BRENT_session,other_valid_hours,2.0,post_ceasefire_complex,42,0.12433831455775407,-0.0555300848633251,0.32753833550576067,47.61904761904761,mean_reversion_ar1 + autocorr,False
BRENT_session,other_valid_hours,5.0,slight_escalation_strait_closure,11,-0.04385988912484431,-0.3010208672494489,,36.36363636363637,mean_reversion_ar1 + autocorr,False
BRENT_session,other_valid_hours,7.0,sustained_major_reescalation_hormuz_war,10,0.23543411293515862,0.018276105220955543,0.4771326001993761,50.0,mean_reversion_ar1 + autocorr,False
BRENT_session,other_valid_hours,10.0,second_deescalation_active_negotiation_hormuz_deal,8,-0.09849894080686077,-0.31597144080254347,,62.5,mean_reversion_ar1 + autocorr,False
BRENT_session,us_late,1.0,full_scale_war,12,-0.12571555464239567,0.1313166613849947,,25.0,mean_reversion_ar1 + autocorr,False
BRENT_session,us_open,1.0,full_scale_war,36,-0.02395552583976369,0.10382755428570888,,50.0,mean_reversion_ar1 + autocorr,False
BRENT_session,us_open,2.0,post_ceasefire_complex,86,0.21880816484241727,0.03637971256824718,0.45613946063154,53.48837209302325,mean_reversion_ar1 + autocorr,False
BRENT_session,us_open,3.0,strong_escalation_op_rising_lion,8,-0.4480949875069333,0.010811916076924638,,25.0,mean_reversion_ar1 + autocorr,False
BRENT_session,us_open,4.0,naval_blockade_removed,8,0.15711169294383312,-0.4576073514800004,0.36328715521420457,62.5,mean_reversion_ar1 + autocorr,False
BRENT_session,us_open,5.0,slight_escalation_strait_closure,22,0.12894073027953826,-0.04411576475465891,0.34203016588617546,40.909090909090914,mean_reversion_ar1 + autocorr,False
BRENT_session,us_open,6.0,ceasefire_collapse_renewed_escalation,6,-0.4558030876929189,0.6098964466194376,,83.33333333333334,mean_reversion_ar1 + autocorr,False
BRENT_session,us_open,7.0,sustained_major_reescalation_hormuz_war,20,-0.032365515267448366,-0.1641826853582141,,45.0,mean_reversion_ar1 + autocorr,False
BRENT_session,us_open,9.0,ceasefire_pause_breakdown_renewed_escalation,8,0.5357341151101067,-0.20278510624648347,0.43906728168028725,37.5,mean_reversion_ar1 + autocorr,False
BRENT_session,us_open,10.0,second_deescalation_active_negotiation_hormuz_deal,18,-0.04411080298110068,0.26592562788030427,,50.0,mean_reversion_ar1 + autocorr,False
BRENT_session,us_pre_open,1.0,full_scale_war,18,-0.2544231437051362,-0.1450957497829034,,55.55555555555556,mean_reversion_ar1 + autocorr,False
BRENT_session,us_pre_open,2.0,post_ceasefire_complex,43,-0.03422717678422662,-0.018846095061949304,,41.86046511627907,mean_reversion_ar1 + autocorr,False
BRENT_session,us_pre_open,5.0,slight_escalation_strait_closure,11,0.04796641235304626,0.26096760659480617,0.2343731069529657,45.45454545454545,mean_reversion_ar1 + autocorr,False
BRENT_session,us_pre_open,7.0,sustained_major_reescalation_hormuz_war,10,-0.6178870370661204,0.33462683986425656,,50.0,mean_reversion_ar1 + autocorr,False
BRENT_session,us_pre_open,10.0,second_deescalation_active_negotiation_hormuz_deal,9,0.178795890660841,-0.3320764832558665,0.4229239876481769,55.55555555555556,mean_reversion_ar1 + autocorr,False
WTI_session,asia_early,1.0,full_scale_war,11,0.06388616806116046,0.012441095514279915,0.2516968626583629,63.63636363636363,mean_reversion_ar1 + autocorr,False
WTI_session,europe_midday,1.0,full_scale_war,18,-0.07108967366252318,-0.16031362180058215,,38.88888888888889,mean_reversion_ar1 + autocorr,False
WTI_session,europe_midday,2.0,post_ceasefire_complex,43,0.08955792980339197,-0.01315545821448101,0.29716271392588306,46.51162790697674,mean_reversion_ar1 + autocorr,False
WTI_session,europe_midday,5.0,slight_escalation_strait_closure,11,-0.46035441368354774,-0.2423661412882058,,18.181818181818183,mean_reversion_ar1 + autocorr,False
WTI_session,europe_midday,7.0,sustained_major_reescalation_hormuz_war,10,-0.5377350495112778,-0.00046088276097780087,,30.0,mean_reversion_ar1 + autocorr,False
WTI_session,europe_midday,10.0,second_deescalation_active_negotiation_hormuz_deal,9,-0.06838654815828825,-0.13453159799123804,,22.22222222222222,mean_reversion_ar1 + autocorr,False
WTI_session,global_reopen_pre_mcx,1.0,full_scale_war,6,0.021999266897947522,-0.367582232518685,0.17880871221665381,33.33333333333333,mean_reversion_ar1 + autocorr,False
WTI_session,global_reopen_pre_mcx,2.0,post_ceasefire_complex,41,-0.14808381785459535,-0.10282998974311335,,46.34146341463415,mean_reversion_ar1 + autocorr,False
WTI_session,global_reopen_pre_mcx,4.0,naval_blockade_removed,5,0.30344105395421017,0.15526305556314113,0.9350641354898344,60.0,mean_reversion_ar1 + autocorr,False
WTI_session,global_reopen_pre_mcx,5.0,slight_escalation_strait_closure,12,0.31865341228282534,0.5373804651972143,0.47067726037648433,50.0,mean_reversion_ar1 + autocorr,False
WTI_session,global_reopen_pre_mcx,7.0,sustained_major_reescalation_hormuz_war,10,0.1318297418985671,-0.3351494954200733,0.345047169201165,40.0,mean_reversion_ar1 + autocorr,False
WTI_session,global_reopen_pre_mcx,10.0,second_deescalation_active_negotiation_hormuz_deal,9,-0.6747260537043246,0.12474365703973093,,22.22222222222222,mean_reversion_ar1 + autocorr,False
WTI_session,india_midday,1.0,full_scale_war,6,0.303339750884824,-0.46586622402321104,0.9386852481709851,66.66666666666666,mean_reversion_ar1 + autocorr,False
WTI_session,india_midday,2.0,post_ceasefire_complex,43,0.03177986789955292,-0.00791702549175884,0.20073552135903805,46.51162790697674,mean_reversion_ar1 + autocorr,False
WTI_session,india_midday,5.0,slight_escalation_strait_closure,11,-0.3041071542119984,-0.18120630193471382,,45.45454545454545,mean_reversion_ar1 + autocorr,False
WTI_session,india_midday,7.0,sustained_major_reescalation_hormuz_war,10,-0.17362142021182245,-0.4266803170502961,,50.0,mean_reversion_ar1 + autocorr,False
WTI_session,india_midday,10.0,second_deescalation_active_negotiation_hormuz_deal,9,0.35390292116002153,-0.5182621459881909,0.7400695172276237,55.55555555555556,mean_reversion_ar1 + autocorr,False
WTI_session,india_morning,1.0,full_scale_war,6,-0.4232271909395823,-0.17191654593615438,,33.33333333333333,mean_reversion_ar1 + autocorr,False
WTI_session,india_morning,2.0,post_ceasefire_complex,42,-0.14589915535177372,0.02394205040428355,,47.61904761904761,mean_reversion_ar1 + autocorr,False
WTI_session,india_morning,5.0,slight_escalation_strait_closure,11,0.14821234591750493,-0.43669342637345576,0.40351534487086665,54.54545454545454,mean_reversion_ar1 + autocorr,False
WTI_session,india_morning,7.0,sustained_major_reescalation_hormuz_war,10,-0.2659311482431261,-0.3799423024093785,,50.0,mean_reversion_ar1 + autocorr,False
WTI_session,india_morning,10.0,second_deescalation_active_negotiation_hormuz_deal,9,-0.09951001481096503,-0.5295228666656784,,44.44444444444444,mean_reversion_ar1 + autocorr,False
WTI_session,mcx_open_drive,1.0,full_scale_war,6,-0.6199106499964583,0.26778556818789123,,16.666666666666664,mean_reversion_ar1 + autocorr,False
WTI_session,mcx_open_drive,2.0,post_ceasefire_complex,42,0.029152269292958062,-0.08896222878728219,0.19500779792346465,52.38095238095239,mean_reversion_ar1 + autocorr,False
WTI_session,mcx_open_drive,4.0,naval_blockade_removed,5,0.6158897184612706,0.8033107131114101,0.5664843517977097,60.0,mean_reversion_ar1 + autocorr,False
WTI_session,mcx_open_drive,5.0,slight_escalation_strait_closure,12,-0.048978270548528505,-0.2095859010516965,,41.66666666666667,mean_reversion_ar1 + autocorr,False
WTI_session,mcx_open_drive,7.0,sustained_major_reescalation_hormuz_war,10,0.08446421635707896,-0.5570957145843445,0.2851873643907786,40.0,mean_reversion_ar1 + autocorr,False
WTI_session,mcx_open_drive,10.0,second_deescalation_active_negotiation_hormuz_deal,9,-0.5593879571582703,-0.020005080308653854,,11.11111111111111,mean_reversion_ar1 + autocorr,False
WTI_session,mcx_tail,1.0,full_scale_war,6,0.3896187844599292,-0.6449163675212124,2.437870671706806,50.0,mean_reversion_ar1 + autocorr,False
WTI_session,mcx_tail,2.0,post_ceasefire_complex,43,-0.17199504031795834,0.17879982006402814,,53.48837209302325,mean_reversion_ar1 + autocorr,False
WTI_session,mcx_tail,5.0,slight_escalation_strait_closure,11,0.05502612975662716,-0.4526293433857281,0.24032729609731301,63.63636363636363,mean_reversion_ar1 + autocorr,False
WTI_session,mcx_tail,7.0,sustained_major_reescalation_hormuz_war,10,-0.015035905275394385,0.27807485369096596,,50.0,mean_reversion_ar1 + autocorr,False
WTI_session,mcx_tail,10.0,second_deescalation_active_negotiation_hormuz_deal,9,-0.6863722829703256,0.32121377221640174,,11.11111111111111,mean_reversion_ar1 + autocorr,False
WTI_session,other_valid_hours,1.0,full_scale_war,18,0.002469342092018331,-0.14253873418363575,0.114923315215257,44.44444444444444,mean_reversion_ar1 + autocorr,False
WTI_session,other_valid_hours,2.0,post_ceasefire_complex,42,0.10916933882194134,-0.05441511084831563,0.3041090411850427,50.0,mean_reversion_ar1 + autocorr,False
WTI_session,other_valid_hours,5.0,slight_escalation_strait_closure,11,-0.03242720422992509,-0.25776559626576995,,54.54545454545454,mean_reversion_ar1 + autocorr,False
WTI_session,other_valid_hours,7.0,sustained_major_reescalation_hormuz_war,10,0.1982469424278095,0.10015976206058519,0.4196293538248425,30.0,mean_reversion_ar1 + autocorr,False
WTI_session,other_valid_hours,10.0,second_deescalation_active_negotiation_hormuz_deal,9,0.030729100193349693,-0.3699344046717098,0.19836083388853998,33.33333333333333,mean_reversion_ar1 + autocorr,False
WTI_session,us_late,1.0,full_scale_war,12,-0.22817992582632207,0.27363002856805485,,25.0,mean_reversion_ar1 + autocorr,False
WTI_session,us_open,1.0,full_scale_war,36,-0.1877198173656333,-0.19182411840794686,,47.22222222222222,mean_reversion_ar1 + autocorr,False
WTI_session,us_open,2.0,post_ceasefire_complex,86,-0.000147312775223368,0.10631551719998168,,48.837209302325576,mean_reversion_ar1 + autocorr,False
WTI_session,us_open,3.0,strong_escalation_op_rising_lion,8,-0.09174821294946543,-0.002196608739551382,,25.0,mean_reversion_ar1 + autocorr,False
WTI_session,us_open,4.0,naval_blockade_removed,8,0.3273434002451479,-0.4606789163440782,0.7701225175551094,50.0,mean_reversion_ar1 + autocorr,False
WTI_session,us_open,5.0,slight_escalation_strait_closure,22,-0.20002447701198706,-0.021315583014183848,,45.45454545454545,mean_reversion_ar1 + autocorr,False
WTI_session,us_open,6.0,ceasefire_collapse_renewed_escalation,6,0.6567896660023221,0.0941926167763603,3.519032560434083,83.33333333333334,mean_reversion_ar1 + autocorr,False
WTI_session,us_open,7.0,sustained_major_reescalation_hormuz_war,20,-0.3732840151931277,0.21385892841345092,,45.0,mean_reversion_ar1 + autocorr,False
WTI_session,us_open,9.0,ceasefire_pause_breakdown_renewed_escalation,8,-0.024515961560765232,-0.0026054344390332093,,62.5,mean_reversion_ar1 + autocorr,False
WTI_session,us_open,10.0,second_deescalation_active_negotiation_hormuz_deal,18,-0.29995709288335326,0.03592917915258879,,38.88888888888889,mean_reversion_ar1 + autocorr,False
WTI_session,us_pre_open,1.0,full_scale_war,18,-0.19900675719356484,-0.40830074236274383,,50.0,mean_reversion_ar1 + autocorr,False
WTI_session,us_pre_open,2.0,post_ceasefire_complex,43,0.06193345883392326,-0.15410816057597143,0.24871642764431728,41.86046511627907,mean_reversion_ar1 + autocorr,False
WTI_session,us_pre_open,5.0,slight_escalation_strait_closure,11,0.010164584695470586,0.29112409450830146,0.1536557290767401,45.45454545454545,mean_reversion_ar1 + autocorr,False
WTI_session,us_pre_open,7.0,sustained_major_reescalation_hormuz_war,10,-0.10712864657254069,-0.28054536805320024,,50.0,mean_reversion_ar1 + autocorr,False
WTI_session,us_pre_open,10.0,second_deescalation_active_negotiation_hormuz_deal,9,0.3283106100450304,-0.3800177943693469,0.665897280817136,55.55555555555556,mean_reversion_ar1 + autocorr,False
