stream,phase_id,phase_label,day_archetype,current_window,n_observations,top_next_window,pct_up_next,pct_down_next,pct_flat_next,low_confidence_flag
BRENT_session,5.0,slight_escalation_strait_closure,all_day_trend_down,global_reopen_pre_mcx,3,mcx_open_drive,33.33333333333333,33.33333333333333,33.33333333333333,True
BRENT_session,5.0,slight_escalation_strait_closure,all_day_trend_down,india_midday,3,europe_midday,33.33333333333333,33.33333333333333,33.33333333333333,True
BRENT_session,5.0,slight_escalation_strait_closure,all_day_trend_down,india_morning,3,india_midday,0.0,100.0,0.0,True
BRENT_session,5.0,slight_escalation_strait_closure,all_day_trend_down,mcx_open_drive,3,india_morning,0.0,0.0,100.0,True
BRENT_session,5.0,slight_escalation_strait_closure,all_day_trend_down,mcx_tail,3,other_valid_hours,0.0,66.66666666666666,33.33333333333333,True
BRENT_session,5.0,slight_escalation_strait_closure,all_day_trend_down,us_open,6,mcx_tail,33.33333333333333,16.666666666666664,50.0,False
BRENT_session,5.0,slight_escalation_strait_closure,all_day_trend_down,us_pre_open,3,us_open,66.66666666666666,33.33333333333333,0.0,True
BRENT_session,5.0,slight_escalation_strait_closure,whipsaw_two_sided,europe_midday,4,us_pre_open,75.0,25.0,0.0,True
BRENT_session,5.0,slight_escalation_strait_closure,whipsaw_two_sided,global_reopen_pre_mcx,4,mcx_open_drive,25.0,25.0,50.0,True
BRENT_session,5.0,slight_escalation_strait_closure,whipsaw_two_sided,india_midday,4,europe_midday,50.0,50.0,0.0,True
BRENT_session,5.0,slight_escalation_strait_closure,whipsaw_two_sided,india_morning,4,india_midday,50.0,25.0,25.0,True
BRENT_session,5.0,slight_escalation_strait_closure,whipsaw_two_sided,mcx_open_drive,4,india_morning,25.0,25.0,50.0,True
BRENT_session,5.0,slight_escalation_strait_closure,whipsaw_two_sided,mcx_tail,4,other_valid_hours,25.0,50.0,25.0,True
BRENT_session,5.0,slight_escalation_strait_closure,whipsaw_two_sided,us_open,8,mcx_tail,37.5,25.0,37.5,False
BRENT_session,5.0,slight_escalation_strait_closure,whipsaw_two_sided,us_pre_open,4,us_open,0.0,50.0,50.0,True
BRENT_session,6.0,ceasefire_collapse_renewed_escalation,whipsaw_two_sided,us_open,4,mcx_tail,0.0,0.0,100.0,True
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,all_day_trend_up,us_open,4,mcx_tail,0.0,25.0,75.0,True
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,mixed_regime,europe_midday,3,us_pre_open,66.66666666666666,33.33333333333333,0.0,True
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,mixed_regime,global_reopen_pre_mcx,3,mcx_open_drive,0.0,33.33333333333333,66.66666666666666,True
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,mixed_regime,india_midday,3,europe_midday,0.0,66.66666666666666,33.33333333333333,True
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,mixed_regime,india_morning,3,india_midday,33.33333333333333,66.66666666666666,0.0,True
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,mixed_regime,mcx_open_drive,3,india_morning,66.66666666666666,33.33333333333333,0.0,True
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,mixed_regime,mcx_tail,3,other_valid_hours,33.33333333333333,33.33333333333333,33.33333333333333,True
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,mixed_regime,us_open,6,mcx_tail,50.0,33.33333333333333,16.666666666666664,False
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,mixed_regime,us_pre_open,3,us_open,66.66666666666666,0.0,33.33333333333333,True
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,whipsaw_two_sided,europe_midday,4,us_pre_open,50.0,50.0,0.0,True
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,whipsaw_two_sided,global_reopen_pre_mcx,4,mcx_open_drive,0.0,50.0,50.0,True
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,whipsaw_two_sided,india_midday,4,europe_midday,25.0,25.0,50.0,True
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,whipsaw_two_sided,india_morning,4,india_midday,0.0,50.0,50.0,True
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,whipsaw_two_sided,mcx_open_drive,4,india_morning,50.0,0.0,50.0,True
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,whipsaw_two_sided,mcx_tail,4,other_valid_hours,50.0,0.0,50.0,True
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,whipsaw_two_sided,us_open,8,mcx_tail,37.5,12.5,50.0,False
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,whipsaw_two_sided,us_pre_open,4,us_open,0.0,75.0,25.0,True
BRENT_session,9.0,ceasefire_pause_breakdown_renewed_escalation,whipsaw_two_sided,us_open,4,mcx_tail,0.0,50.0,50.0,True
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,all_day_trend_up,europe_midday,4,us_pre_open,50.0,25.0,25.0,True
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,all_day_trend_up,global_reopen_pre_mcx,4,mcx_open_drive,0.0,50.0,50.0,True
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,all_day_trend_up,india_midday,4,europe_midday,50.0,50.0,0.0,True
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,all_day_trend_up,india_morning,4,india_midday,75.0,25.0,0.0,True
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,all_day_trend_up,mcx_open_drive,4,india_morning,50.0,25.0,25.0,True
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,all_day_trend_up,mcx_tail,4,other_valid_hours,25.0,25.0,50.0,True
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,all_day_trend_up,us_open,8,mcx_tail,87.5,0.0,12.5,False
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,all_day_trend_up,us_pre_open,4,us_open,75.0,25.0,0.0,True
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,mixed_regime,us_open,4,mcx_tail,50.0,25.0,25.0,True
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,whipsaw_two_sided,europe_midday,5,us_pre_open,40.0,40.0,20.0,False
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,whipsaw_two_sided,global_reopen_pre_mcx,4,mcx_open_drive,25.0,25.0,50.0,True
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,whipsaw_two_sided,india_midday,5,europe_midday,20.0,60.0,20.0,False
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,whipsaw_two_sided,india_morning,4,india_midday,50.0,25.0,25.0,True
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,whipsaw_two_sided,mcx_open_drive,4,india_morning,25.0,0.0,75.0,True
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,whipsaw_two_sided,mcx_tail,4,other_valid_hours,25.0,25.0,50.0,True
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,whipsaw_two_sided,us_open,10,mcx_tail,50.0,30.0,20.0,False
BRENT_session,10.0,second_deescalation_active_negotiation_hormuz_deal,whipsaw_two_sided,us_pre_open,5,us_open,40.0,40.0,20.0,False
WTI_session,1.0,full_scale_war,all_day_trend_down,us_open,4,other_valid_hours,0.0,100.0,0.0,True
WTI_session,1.0,full_scale_war,all_day_trend_up,asia_early,3,us_late,66.66666666666666,0.0,33.33333333333333,True
WTI_session,1.0,full_scale_war,all_day_trend_up,europe_midday,4,us_pre_open,100.0,0.0,0.0,True
WTI_session,1.0,full_scale_war,all_day_trend_up,us_late,3,europe_midday,33.33333333333333,66.66666666666666,0.0,True
WTI_session,1.0,full_scale_war,all_day_trend_up,us_open,8,us_open,62.5,25.0,12.5,False
WTI_session,1.0,full_scale_war,all_day_trend_up,us_pre_open,4,us_open,100.0,0.0,0.0,True
WTI_session,1.0,full_scale_war,mixed_regime,europe_midday,4,us_pre_open,0.0,25.0,75.0,True
