phase_id,vol_std_asia_early,vol_mean_asia_early,vol_std_europe_midday,vol_mean_europe_midday,vol_std_global_reopen_pre_mcx,vol_mean_global_reopen_pre_mcx,vol_std_india_midday,vol_mean_india_midday,vol_std_india_morning,vol_mean_india_morning,vol_std_mcx_open_drive,vol_mean_mcx_open_drive,vol_std_mcx_tail,vol_mean_mcx_tail,vol_std_other_valid_hours,vol_mean_other_valid_hours,vol_std_us_late,vol_mean_us_late,vol_std_us_open,vol_mean_us_open,vol_std_us_pre_open,vol_mean_us_pre_open,dir_up_asia_early,dir_down_asia_early,dir_flat_asia_early,dir_up_europe_midday,dir_down_europe_midday,dir_flat_europe_midday,dir_up_global_reopen_pre_mcx,dir_down_global_reopen_pre_mcx,dir_flat_global_reopen_pre_mcx,dir_up_india_midday,dir_down_india_midday,dir_flat_india_midday,dir_up_india_morning,dir_down_india_morning,dir_flat_india_morning,dir_up_mcx_open_drive,dir_down_mcx_open_drive,dir_flat_mcx_open_drive,dir_up_mcx_tail,dir_down_mcx_tail,dir_flat_mcx_tail,dir_up_other_valid_hours,dir_down_other_valid_hours,dir_flat_other_valid_hours,dir_up_us_late,dir_down_us_late,dir_flat_us_late,dir_up_us_open,dir_down_us_open,dir_flat_us_open,dir_up_us_pre_open,dir_down_us_pre_open,dir_flat_us_pre_open,ret_mean,ret_median,ret_std,ret_skew,mag_Q1_0_25,mag_Q2_25_50,mag_Q3_50_75,mag_Q4_75_90,mag_Q5_90_100,n_session_rows,n_trading_days
1.0,1.5535148329524655,-0.05389912350069935,2.079157499519435,-0.424866178429233,2.9063112513669633,0.7176772709409296,2.0489177826756686,0.6847910334825211,2.3218443161205853,-0.8776681176402126,0.675492104994105,0.29210668375734516,0.8764959308067688,-0.3395840512435454,3.957059917323809,0.6463362285507764,1.783975898756728,0.19477117708435882,1.364298002461072,0.14663629155966354,1.812659362936604,0.3708851608470026,22.727272727272727,40.90909090909091,36.36363636363637,41.66666666666667,44.44444444444444,13.888888888888888,58.33333333333333,41.666666666666664,0.0,58.33333333333333,33.33333333333333,8.333333333333332,16.666666666666664,16.666666666666664,66.66666666666666,50.0,16.666666666666664,33.33333333333333,16.666666666666664,33.33333333333333,50.0,44.44444444444444,38.88888888888889,16.666666666666664,50.0,20.833333333333332,29.166666666666664,48.611111111111114,27.777777777777775,23.611111111111114,47.22222222222223,25.0,27.77777777777778,0.12338057958262792,0.27109173176253387,0.5096655366146593,-0.46343274659205064,72,71,71,36,36,22,26
2.0,0.0,0.0,1.1444882804323413,-0.3784389468036778,1.8604859737898611,-0.22015045197529898,2.1550599968757433,-0.3132290726237839,0.730819272210685,0.05542817857041375,0.4157604879712854,0.0190545589106739,0.877096222214153,-0.0759985082157679,0.936004092383595,0.14109273680740914,0.0,0.0,1.4124076335269096,0.1390892280150387,2.208448716523383,-0.009354957045332152,0.0,0.0,0.0,20.930232558139537,50.0,29.069767441860463,37.804878048780495,36.58536585365854,25.609756097560975,39.53488372093023,46.51162790697674,13.953488372093023,47.61904761904762,32.14285714285714,20.238095238095237,23.809523809523807,22.61904761904762,53.57142857142857,30.232558139534884,31.395348837209305,38.372093023255815,32.14285714285714,23.80952380952381,44.047619047619044,0.0,0.0,0.0,43.6046511627907,34.883720930232556,21.51162790697675,46.51162790697674,41.86046511627907,11.627906976744185,-0.07138969270670281,-0.027729309525116097,0.20591263316637604,-0.6616229488833061,215,210,210,125,90,18,43
3.0,0.0,0.0,1.0612100325057516,0.8301368462913391,0.7204242018238673,-0.15479951433999314,0.7256004131251358,-1.1405226018000914,0.3192329774949676,-0.3621933390350872,0.36922316127543653,-0.4602985269720226,0.9357542752656918,-0.327302480233781,1.4687644841923129,0.24092725061657586,0.0,0.0,1.437032141063416,-0.26291638443595194,1.749957626822023,0.0544079283679293,0.0,0.0,0.0,75.0,0.0,25.0,25.0,50.0,25.0,0.0,100.0,0.0,0.0,62.5,37.5,0.0,75.0,25.0,25.0,50.0,25.0,50.0,25.0,25.0,0.0,0.0,0.0,25.0,25.0,50.0,50.0,50.0,0.0,-0.17584009128234251,-0.26907444967583244,0.524847062876191,0.15996021298685964,4,4,4,2,2,18,4
4.0,0.0,0.0,0.8667953567383517,0.40987890203392013,0.47816505594762404,-0.48553952692268354,1.3819269232282783,-0.6533358295322489,0.10547695810259465,0.01443567931651855,0.3339644526296844,-0.2106245843002968,0.797051744339378,0.8448452673315298,0.8695426484482662,-0.1905778093202265,0.0,0.0,0.9154023280971093,-0.11130376762607094,1.1648779520990045,-0.7400351107899878,0.0,0.0,0.0,50.0,25.0,25.0,0.0,70.0,30.0,25.0,62.5,12.5,0.0,0.0,100.0,10.0,40.0,50.0,87.5,0.0,12.5,37.5,50.0,12.5,0.0,0.0,0.0,37.5,50.0,12.5,25.0,75.0,0.0,-0.12469519775661622,-0.1772326777567343,0.4992862170063076,0.5789026177323925,10,8,8,6,4,18,5
5.0,0.0,0.0,0.7745708449592834,-0.028666764837888,1.0514400465638807,-0.48976440803181653,0.965506713217398,-0.149271836749483,0.43236453622219745,-0.08083853743347165,0.2848376833757341,-0.01162580611400515,0.30281397650247144,0.1709269732297385,1.3945765156591436,0.29940955274068337,0.0,0.0,0.5455504545660674,0.041411186303452946,1.221447700200391,-0.1455966329636432,0.0,0.0,0.0,45.45454545454545,45.45454545454545,9.090909090909092,20.833333333333332,58.33333333333333,20.833333333333332,36.36363636363636,40.90909090909091,22.727272727272727,13.636363636363637,18.181818181818183,68.18181818181819,25.0,25.0,50.0,40.90909090909091,4.545454545454546,54.54545454545454,31.81818181818182,54.54545454545454,13.636363636363637,0.0,0.0,0.0,43.18181818181819,29.545454545454543,27.27272727272727,45.45454545454545,54.54545454545454,0.0,-0.04377958598404809,-0.028666764837888,0.21593694184279227,-0.5295915449155182,59,53,53,30,29,18,12
6.0,0.0,0.0,13.283359944620202,-13.782515048803797,11.825284871415366,-12.618094342770663,6.495187083253126,6.402072682726966,24.497266167562962,-9.438669740345992,6.196078912245127,3.138766968182981,25.66432335712788,-8.903345258977751,10.198229063692079,-2.05694521304267,0.0,0.0,21.595180083388957,-27.09767439476011,30.20710650911425,-8.248608097613927,0.0,0.0,0.0,49.99999999999999,49.99999999999999,0.0,16.666666666666664,49.99999999999999,33.33333333333333,49.99999999999999,0.0,49.99999999999999,16.666666666666664,33.33333333333333,49.99999999999999,16.666666666666664,16.666666666666664,66.66666666666666,16.666666666666664,16.666666666666664,66.66666666666666,33.33333333333333,16.666666666666664,49.99999999999999,0.0,0.0,0.0,0.0,66.66666666666667,33.33333333333333,33.33333333333333,66.66666666666666,0.0,-8.067223605044996,-0.37675732732279216,15.786620903341147,-1.5807261784537165,3,3,3,1,2,18,3
7.0,0.0,0.0,0.8145039672666072,0.00196283305751975,0.9669435271503279,0.1758005365880556,2.8266488712398683,-0.9768249901985718,0.7108613802751556,0.07067050540777989,0.3242847590927205,-0.11163813592527114,0.9022445421753849,0.5411814997101982,0.41389694762837015,0.1755100025649217,0.0,0.0,2.328415790801173,0.3638889657309062,2.6002425688764617,0.98438024488812,0.0,0.0,0.0,45.0,35.0,20.0,45.0,35.0,20.0,35.0,40.0,25.0,40.0,30.0,30.0,10.0,35.0,55.0,45.0,5.0,50.0,35.0,10.0,55.0,0.0,0.0,0.0,35.0,45.0,20.0,65.0,20.0,15.0,0.13610349575818426,0.1525319484220276,0.6733571961404855,-1.8807394481087802,50,50,50,30,20,18,10
8.0,0.0,0.0,0.0,1.563557741415205,0.0,1.0399066120583869,0.0,-1.9549500868465062,0.0,-1.996437544530955,0.0,-0.5237658683367454,0.0,-0.3266031360218892,0.0,-0.8492982304571446,0.0,0.0,0.00864730108807375,-0.6332271105309947,0.0,0.4702181394566518,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,50.0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,50.0,0.0,50.0,-0.35673327597711,-0.5662128209053996,1.2212684874840334,0.031397221889494994,0,0,0,0,0,18,1
9.0,0.0,0.0,1.3045848814570071,0.42677941895836013,2.158877235070821,-0.2155387681520517,1.424726892727001,0.07581091905296809,1.4108859857744194,0.37689796168025974,0.44519184945528456,-0.03896681408889255,0.2804024078982654,-0.0220032889653299,0.41444560027648825,0.014265416480639101,0.0,0.0,0.7837844109144521,-0.4348696964601763,1.5190423758862686,0.5703992264276558,0.0,0.0,0.0,75.0,25.0,0.0,25.0,75.0,0.0,25.0,37.5,37.5,50.0,25.0,25.0,37.5,37.5,25.0,12.5,37.5,50.0,29.166666666666664,45.83333333333333,25.0,0.0,0.0,0.0,18.75,50.0,31.25,50.0,37.5,12.5,0.08364159721482584,0.012825609461829101,0.3345441815192215,0.37376348116631053,4,4,4,2,2,18,4
10.0,0.0,0.0,2.2074383508887294,-1.033848554719794,0.6662706004247885,-0.02843661377038064,1.2312352400079611,0.424363317585136,0.7643163587582242,-0.0796749916604662,0.46424034318978574,0.07495944535654164,0.5428063504598837,0.14786510868916655,0.5024948763199624,-0.1568348323717783,0.0,0.0,0.7938641421400945,0.31508408777597985,0.9563991066306714,0.007294229443094099,0.0,0.0,0.0,33.33333333333333,61.11111111111111,5.555555555555555,23.61111111111111,40.97222222222222,35.416666666666664,55.55555555555556,33.33333333333333,11.11111111111111,23.61111111111111,52.77777777777778,23.61111111111111,47.22222222222222,35.416666666666664,17.36111111111111,38.888888888888886,16.666666666666664,44.44444444444444,5.555555555555555,35.416666666666664,59.02777777777778,0.0,0.0,0.0,50.0,19.444444444444443,30.555555555555554,38.888888888888886,38.888888888888886,22.22222222222222,-0.03658097818583343,0.038977932890231645,0.4088733084163122,-1.6277232685059617,49,41,41,25,20,18,9
