signal,n_trades,win_rate,avg_pnl,total_pnl_pct,profit_factor,expectancy,sharpe,max_dd
WTI|1|all_day_trend_up|europe_midday,4,100.0,1.4297368446540821,5.7189473786163285,inf,1.4297368446540821,80.88204184567905,0.0
WTI|4|whipsaw_two_sided|us_open,2,100.0,1.3649632701349255,2.729926540269851,inf,1.3649632701349255,27.51680701383096,0.0
WTI|5|gap_and_hold_up|us_open,2,50.0,1.2217631086041023,2.4435262172082046,25.746044918384882,1.2217631086041023,10.38559780089226,-3.884091724262922
BRENT|7|mixed_regime|europe_midday,3,66.66666666666666,1.1949411176674183,3.584823353002255,4.389417150266583,1.1949411176674183,8.315820768692856,0.0
BRENT|2|all_day_trend_up|india_morning,9,88.88888888888889,1.183184997684196,10.648664979157763,19.11415568453773,1.183184997684196,22.008617736495232,-5.7782871847697574
BRENT|2|whipsaw_two_sided|india_morning,12,66.66666666666666,1.1423756782311263,13.708508138773515,5.235941844005172,1.1423756782311263,10.026865591159003,-4.485814302772597
WTI|1|all_day_trend_up|us_open,4,100.0,1.0711388686360166,4.284555474544066,inf,1.0711388686360166,84.10314419721632,0.0
WTI|1|all_day_trend_up|us_pre_open,4,100.0,1.0711388686360166,4.284555474544066,inf,1.0711388686360166,84.10314419721632,0.0
BRENT|2|all_day_trend_down|india_morning,12,75.0,1.0382990281804083,12.459588338164899,5.911306977564521,1.0382990281804083,9.39400551754045,-7.159281788903242
BRENT|2|gap_and_hold_up|india_midday,5,80.0,0.9274195679745537,4.6370978398727685,35.48691033839194,0.9274195679745537,12.080431255428879,-9.17096196163794
WTI|10|whipsaw_two_sided|india_midday,6,83.33333333333334,0.8732824109965377,5.239694465979226,37.69011915008746,0.8732824109965377,15.547370560917468,-2.8866027689318945
BRENT|2|all_day_trend_down|india_midday,12,75.0,0.8545974586651813,10.255169503982176,9.439869187450473,0.8545974586651813,9.841358942038033,-11.070890900012692
BRENT|2|gap_and_hold_up|europe_midday,5,60.0,0.60658261019099,3.0329130509549502,2.2425851142020847,0.60658261019099,4.670970606072617,0.0
