phase_id,n_rows,n_non_null,median_abs_return,mean_return,mean_range_pct,phase_atr_pct,direction_threshold_pct,n_up,n_down,n_flat,phase_label
1.0,286,286,1.0000071453810269,0.14370350332775214,2.945360065003274,2.945360065003274,0.5000035726905134,124,90,72,full_scale_war
2.0,850,850,0.6012676492059826,-0.05040529139572992,1.80801557595416,1.80801557595416,0.3006338246029913,311,302,237,post_ceasefire_complex
3.0,80,80,0.6444729890167153,-0.1845477205977035,1.6818896268926575,1.6818896268926575,0.3222364945083577,22,37,21,strong_escalation_op_rising_lion
4.0,84,84,0.6039794561129974,-0.13405729288012974,1.3388470507208805,1.3388470507208805,0.3019897280564987,25,36,23,naval_blockade_removed
5.0,224,224,0.43443468071633606,-0.0391075551538268,1.2711351643258797,1.2711351643258797,0.21721734035816803,77,81,66,slight_escalation_strait_closure
6.0,60,60,1.1114790214354953,-9.970268684016506,1.5789431832808938,1.5789431832808938,0.5557395107177476,14,23,23,ceasefire_collapse_renewed_escalation
7.0,200,200,0.5788742514376466,0.15888204275545648,1.7517452509336027,1.7517452509336027,0.2894371257188233,78,60,62,sustained_major_reescalation_hormuz_war
8.0,20,20,0.7481150132812426,-0.38438265943249855,1.887056978162552,1.887056978162552,0.3740575066406213,5,13,2,operational_pause_renewed_diplomacy
9.0,79,79,0.4653977255106151,0.03344972326799104,1.5385864245712442,1.5385864245712442,0.23269886275530755,27,33,19,ceasefire_pause_breakdown_renewed_escalation
10.0,176,176,0.5793813889566057,-0.0009851357680401367,1.3593492948230521,1.3593492948230521,0.28969069447830287,65,62,49,second_deescalation_active_negotiation_hormuz_deal
