stream,phase_id,phase_label,day_archetype,current_window,top_next_window,n_observations,freq_up,freq_down,freq_flat,bayes_mean_up,bayes_mean_down,bayes_mean_flat,hdi_up_lower,hdi_up_upper,hdi_down_lower,hdi_down_upper,hdi_flat_lower,hdi_flat_upper,bayes_n_eff
BRENT_session,1.0,full_scale_war,all_day_trend_down,us_open,mcx_tail,4,25.0,50.0,25.0,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0,0.5987638025642563,0.0856428645817836,0.7714999925610735,0.0,0.5987638025642563,7.0
BRENT_session,1.0,full_scale_war,all_day_trend_up,asia_early,us_late,5,80.0,20.0,0.0,0.625,0.25,0.125,0.3087063600597276,0.9412936399402724,0.0,0.5329016319029166,0.0,0.34106969040360824,8.0
BRENT_session,1.0,full_scale_war,all_day_trend_up,europe_midday,us_pre_open,7,42.85714285714285,42.85714285714285,14.285714285714285,0.3,0.3,0.4,0.02918708235455908,0.5708129176454408,0.02918708235455908,0.5708129176454408,0.11048881321660942,0.6895111867833906,10.0
BRENT_session,1.0,full_scale_war,all_day_trend_up,us_late,europe_midday,6,66.66666666666666,33.33333333333333,0.0,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.13646015752763707,0.7524287313612518,0.0,0.47990036388611657,0.041153784273360805,0.6255128823933058,9.0
BRENT_session,1.0,full_scale_war,all_day_trend_up,us_open,us_open,14,50.0,7.142857142857142,42.85714285714285,0.47058823529411764,0.11764705882352941,0.4117647058823529,0.24,0.7011764705882353,0.0,0.26649112467777525,0.18440163970832846,0.6391277720563774,17.0
BRENT_session,1.0,full_scale_war,all_day_trend_up,us_pre_open,us_open,7,57.14285714285714,14.285714285714285,28.57142857142857,0.5,0.2,0.3,0.20451888231379167,0.7954811176862083,0.0,0.43638489414896664,0.02918708235455908,0.5708129176454408,10.0
BRENT_session,1.0,full_scale_war,mixed_regime,us_open,us_open,4,25.0,50.0,25.0,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0,0.5987638025642563,0.0856428645817836,0.7714999925610735,0.0,0.5987638025642563,7.0
BRENT_session,1.0,full_scale_war,whipsaw_two_sided,asia_early,us_late,5,40.0,20.0,40.0,0.375,0.25,0.375,0.058706360059727625,0.6912936399402724,0.0,0.5329016319029166,0.058706360059727625,0.6912936399402724,8.0
BRENT_session,1.0,full_scale_war,whipsaw_two_sided,europe_midday,us_pre_open,6,50.0,33.33333333333333,16.666666666666664,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.13646015752763707,0.7524287313612518,0.0,0.47990036388611657,0.041153784273360805,0.6255128823933058,9.0
BRENT_session,1.0,full_scale_war,whipsaw_two_sided,us_late,europe_midday,5,40.0,60.0,0.0,0.375,0.5,0.125,0.058706360059727625,0.6912936399402724,0.17333333333333334,0.8266666666666667,0.0,0.34106969040360824,8.0
